t_s,qi,qj,qk,qr,roll_deg,pitch_deg,yaw_deg
0.08978760000900365,-0.09088134765625,-0.10919189453125,0.6661376953125,0.732177734375,-16.18658736919609,-2.22459569305287,84.90877203921116
0.09578010000404902,-0.09088134765625,-0.10919189453125,0.6661376953125,0.732177734375,-16.18658736919609,-2.22459569305287,84.90877203921116
0.101789500011364,-0.09088134765625,-0.10919189453125,0.6661376953125,0.732177734375,-16.18658736919609,-2.22459569305287,84.90877203921116
0.10977740000816993,-0.09088134765625,-0.10919189453125,0.6661376953125,0.732177734375,-16.18658736919609,-2.22459569305287,84.90877203921116
0.11579909999272786,-0.09088134765625,-0.10919189453125,0.6661376953125,0.732177734375,-16.18658736919609,-2.22459569305287,84.90877203921116
0.14278429999831133,-0.0909423828125,-0.10931396484375,0.6661376953125,0.732177734375,-16.201671968531304,-2.230182740212258,84.91199946842418
0.14784309998503886,-0.0909423828125,-0.10931396484375,0.6661376953125,0.732177734375,-16.201671968531304,-2.230182740212258,84.91199946842418
0.15377549998811446,-0.0909423828125,-0.10931396484375,0.6661376953125,0.732177734375,-16.201671968531304,-2.230182740212258,84.91199946842418
0.16178530000615865,-0.0909423828125,-0.10931396484375,0.6661376953125,0.732177734375,-16.201671968531304,-2.230182740212258,84.91199946842418
0.19083959999261424,-0.0908203125,-0.109375,0.66607666015625,0.732177734375,-16.19528870152418,-2.2452684717725635,84.90370188160486
0.19678639998892322,-0.0908203125,-0.109375,0.66607666015625,0.732177734375,-16.19528870152418,-2.2452684717725635,84.90370188160486
0.20278759999200702,-0.0908203125,-0.109375,0.66607666015625,0.732177734375,-16.19528870152418,-2.2452684717725635,84.90370188160486
0.20979799999622628,-0.0908203125,-0.109375,0.66607666015625,0.732177734375,-16.19528870152418,-2.2452684717725635,84.90370188160486
0.2160198999918066,-0.0908203125,-0.109375,0.66607666015625,0.732177734375,-16.19528870152418,-2.2452684717725635,84.90370188160486
0.24278010000125505,-0.09075927734375,-0.10931396484375,0.66607666015625,0.732177734375,-16.185108574174873,-2.2448057982102103,84.90205267971616
0.2507898999901954,-0.09075927734375,-0.10931396484375,0.66607666015625,0.732177734375,-16.185108574174873,-2.2448057982102103,84.90205267971616
0.25678279998828657,-0.09075927734375,-0.10931396484375,0.66607666015625,0.732177734375,-16.185108574174873,-2.2448057982102103,84.90205267971616
0.2627875999896787,-0.09075927734375,-0.10931396484375,0.66607666015625,0.732177734375,-16.185108574174873,-2.2448057982102103,84.90205267971616
0.2887824999925215,-0.0906982421875,-0.10931396484375,0.66607666015625,0.73223876953125,-16.180442456827503,-2.250233143480013,84.90239896530483
0.29478609998477623,-0.0906982421875,-0.10931396484375,0.66607666015625,0.73223876953125,-16.180442456827503,-2.250233143480013,84.90239896530483
0.30079760000808164,-0.0906982421875,-0.10931396484375,0.66607666015625,0.73223876953125,-16.180442456827503,-2.250233143480013,84.90239896530483
0.30580870000994764,-0.0906982421875,-0.10931396484375,0.66607666015625,0.73223876953125,-16.180442456827503,-2.250233143480013,84.90239896530483
0.31178379998891614,-0.0906982421875,-0.10931396484375,0.66607666015625,0.73223876953125,-16.180442456827503,-2.250233143480013,84.90239896530483
0.33777899999404326,-0.09063720703125,-0.10931396484375,0.6661376953125,0.732177734375,-16.175292002731393,-2.2534957977067944,84.9116601772692
0.3437768000003416,-0.09063720703125,-0.10931396484375,0.6661376953125,0.732177734375,-16.175292002731393,-2.2534957977067944,84.9116601772692
0.3497901000082493,-0.09063720703125,-0.10931396484375,0.6661376953125,0.732177734375,-16.175292002731393,-2.2534957977067944,84.9116601772692
0.3557820999994874,-0.09063720703125,-0.10931396484375,0.6661376953125,0.732177734375,-16.175292002731393,-2.2534957977067944,84.9116601772692
0.3608354000025429,-0.09063720703125,-0.10931396484375,0.6661376953125,0.732177734375,-16.175292002731393,-2.2534957977067944,84.9116601772692
0.387785700004315,-0.09063720703125,-0.10931396484375,0.6661376953125,0.73223876953125,-16.175901304593214,-2.254260943942172,84.91207368590041
0.39379259999259375,-0.09063720703125,-0.10931396484375,0.6661376953125,0.73223876953125,-16.175901304593214,-2.254260943942172,84.91207368590041
0.3997994000092149,-0.09063720703125,-0.10931396484375,0.6661376953125,0.73223876953125,-16.175901304593214,-2.254260943942172,84.91207368590041
0.4057883000059519,-0.09063720703125,-0.10931396484375,0.6661376953125,0.73223876953125,-16.175901304593214,-2.254260943942172,84.91207368590041
0.4117839999962598,-0.09063720703125,-0.10931396484375,0.6661376953125,0.73223876953125,-16.175901304593214,-2.254260943942172,84.91207368590041
0.4387939999869559,-0.09063720703125,-0.10931396484375,0.66607666015625,0.73223876953125,-16.17516644915338,-2.254895361980032,84.90233097980584
0.44478689998504706,-0.09063720703125,-0.10931396484375,0.66607666015625,0.73223876953125,-16.17516644915338,-2.254895361980032,84.90233097980584
